transport;station_depart;time_depart;station_arrive;time_arrive;day
429; ќћћ”ЌјЋ№Ќјя ”Ћ;10:16;ѕ–»Ћ” »(—еницкий с/с);10:28;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;10:19;ѕ–»Ћ” »(—еницкий с/с);10:31;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;10:34;ѕ–»Ћ” »(—еницкий с/с);10:46;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;10:36;ѕ–»Ћ” »(—еницкий с/с);10:48;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;10:51;ѕ–»Ћ” »(—еницкий с/с);11:03;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;10:56;ѕ–»Ћ” »(—еницкий с/с);11:08;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;11:05;ѕ–»Ћ” »(—еницкий с/с);11:17;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;11:16;ѕ–»Ћ” »(—еницкий с/с);11:28;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;11:19;ѕ–»Ћ” »(—еницкий с/с);11:31;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;11:33;ѕ–»Ћ” »(—еницкий с/с);11:45;сб вс
213; ќћћ”ЌјЋ№Ќјя ”Ћ;11:42;ѕ–»Ћ” »(—еницкий с/с);11:54;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;11:51;ѕ–»Ћ” »(—еницкий с/с);12:03;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;11:51;ѕ–»Ћ” »(—еницкий с/с);12:03;пн вт ср чт пт
339; ќћћ”ЌјЋ№Ќјя ”Ћ;11:59;ѕ–»Ћ” »(—еницкий с/с);12:11;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;12:06;ѕ–»Ћ” »(—еницкий с/с);12:18;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;12:18;ѕ–»Ћ” »(—еницкий с/с);12:30;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;12:21;ѕ–»Ћ” »(—еницкий с/с);12:33;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;12:34;ѕ–»Ћ” »(—еницкий с/с);12:46;пн вт ср чт пт
